0.656240	14.806422	
36.348279	36.499522	
45.894525	46.796856	
72.822167	73.314348	
92.775975	94.990786	
95.472712	96.846715	
98.446301	99.420408	
100.732888	103.152775	
105.736721	109.346043	
110.248373	112.463184	
117.795137	120.174008	
120.912278	122.388819	
124.439570	124.849720	
129.566447	131.904303	
133.667949	139.656142	
140.353397	151.837603	
153.765309	157.784781	
160.860907	162.132373	
183.091048	197.938485	
207.659045	208.561375	
209.791826	210.899231	
214.549568	222.752572	
224.967383	226.197834	
228.822795	231.119636	
232.268057	235.549258	
235.918393	237.476964	
238.748430	239.814820	
245.803013	247.443614	
248.345944	252.611506	
254.498197	267.623004	
277.056458	280.624765	
281.814200	282.552471	
284.111042	285.997732	
287.843408	296.661638	
297.358893	300.065884	
302.239680	305.356822	
317.456253	320.286289	
330.745119	333.493125	
359.660708	360.768113	
362.162624	362.900894	
